"Date","No.","Description","Debit","Credit"
"2/19/2018","","Interest Charge on Purchases","","0.00"
"2/19/2018","","Interest Charge on Cash Advances","","0.00"
"2/19/2018","","TOTAL *FINANCE CHARGE*  BILLED IN 2017             $0.00","","0.00"
"2/19/2018","","003 IVAR'S SALMON        SEATTLE      WA","53.40",""
"2/18/2018","","AmazonPrime Membership   amzn.com/prmeWA","12.10",""
"2/18/2018","","EL LEGENDARIO            SEATTLE      WA","32.98",""
"2/18/2018","","14 BARTELL DRUGS         SEATTLE      WA","5.49",""
"2/18/2018","","PCC - FREMONT #8         SEATTLE      WA","11.64",""
"2/18/2018","","AMERICAN CIVIL LIBERTIES 212-5492500  NY","5.00",""
"2/18/2018","","PCC - FREMONT #8         SEATTLE      WA","6.38",""
"2/15/2018","","AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA","164.05",""
"2/15/2018","","BB *ALLIANCE FOR LUPUS   212-218-2840 NY","5.00",""
"2/15/2018","","BB *PLANNED PARENTHOOD   800-430-4907 NY","5.00",""
"2/15/2018","","QFC #5869                SEATTLE      WA","50.00",""
"2/15/2018","","Wikimedia8776009454      877-6009454  CA","5.00",""
"2/14/2018","","JAI THAI RESTAURANT      SEATTLE      WA","30.81",""
"2/12/2018","","ARCO#82844               KENT         WA","21.65",""
"2/12/2018","","MCDONALD'S F13372        LIBERTY LAKE WA","7.91",""
"2/11/2018","","ID LIQUOR STORE #322     SANDPOINT    ID","76.16",""
"2/11/2018","","SCHWEITZER MTN RENTALS   SANDPOINT    ID","135.50",""
"2/11/2018","","SCHWEITZER MTN F & B     SANDPOINT    ID","13.65",""
"2/11/2018","","LOVES TRAVEL S00004135   ELLENSBURG   WA","9.19",""
"2/9/2018","","CHEVRON 0091292          NORTH BEND   WA","6.35",""
"2/8/2018","","AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA","14.30",""
"2/8/2018","","PCC - FREMONT #8         SEATTLE      WA","9.99",""
"2/8/2018","","STARBUCKS STORE 00370    SEATTLE      WA","31.38",""
"2/7/2018","","MICROSOFT   *XBOX        800-642-7676 WA","22.01",""
"2/7/2018","","CAFFE LADRO - 04         SEATTLE      WA","8.60",""
"2/6/2018","","14 BARTELL DRUGS         SEATTLE      WA","5.70",""
"2/5/2018","","COSTCO WHSE #0106        SEATTLE      WA","21.89",""
"2/5/2018","","MARRAKESH MOROCCAN RESTAUSEATTLE      WA","129.37",""
"2/4/2018","","CVS/PHARMACY #10387      SEATTLE      WA","14.88",""
"2/4/2018","","SEA SC PARKING #850012   SEATTLE      WA","13.00",""
"2/4/2018","","Amazon.com               AMZN.COM/BILLWA","8.52",""
"2/4/2018","","QFC #5869                SEATTLE      WA","19.81",""
"2/2/2018","","Spotify USA              646-8375380  NY","16.49",""
"2/2/2018","","QFC #5869                SEATTLE      WA","5.17",""
"2/2/2018","","GOOGLE *PROJECT FInova   g.co/helppay#CA","25.02",""
"2/1/2018","","SEATTLE METER PARKING    SEATTLE      WA","0.51",""
"2/1/2018","","DELTA AIR   0062311601019DELTA.COM    CA","176.30",""
"2/1/2018","","DELTA AIR   0062311601020DELTA.COM    CA","176.30",""
"1/30/2018","","Amazon.com               AMZN.COM/BILLWA","14.84",""
"1/30/2018","","Amazon.com               AMZN.COM/BILLWA","28.28",""
"1/29/2018","","NEUMOS                   SEATTLE      WA","28.12",""
"1/29/2018","","STAGE SEATTLE            SEATTLE      WA","20.00",""
"1/29/2018","","STAGE SEATTLE            SEATTLE      WA","23.00",""
"1/29/2018","","BARNES & NOBLE #2280     SEATTLE      WA","35.85",""
"1/28/2018","","EL LEGENDARIO            SEATTLE      WA","43.88",""
"1/28/2018","","QFC #5869                SEATTLE      WA","34.76",""
"1/26/2018","","SQ *OPHELIA'S BOOKS      SEATTLE      WA","7.16",""
"1/24/2018","","PAPER SOURCE ECOMMERCE   312-775-6908 IL","25.47",""
"1/23/2018","","THE INDOOR SUN SHOPPE    SEATTLE      WA","24.21",""
"1/23/2018","","003 IVAR'S SALMON        SEATTLE      WA","59.00",""
"1/21/2018","","QFC #5869                SEATTLE      WA","11.00",""
"1/21/2018","","QFC #5869                SEATTLE      WA","7.38",""
"1/21/2018","","PCC - FREMONT #8         SEATTLE      WA","6.85",""
"1/21/2018","","PCC - FREMONT #8         SEATTLE      WA","5.99",""
"1/20/2018","","PAYMENT - THANK YOU","","-1143.72"
